"id","title","description","availability","condition","price","link","image_link","brand"
"0f22cc4c-54d7-48a1-a813-b0f30ed18f5c","عباية كوبا ازرار","عباية بقماش الكوبا الكوري 123","in stock","new","28.00 JOD","https://novamodaabaya.com/product/abaya-101","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790280035704-stsl03.jpg","Nova Moda"
"087239b4-19d3-4699-9d91-0c3986add20f","عباية روز كريب رمادي","عباية بالقماش الروز كريب الفاخر ناعم و هدل","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-113","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790280211019-150fyl.jpg","Nova Moda"
"28b91be9-2f35-4c8c-9581-af53b3d3e5f5","عباية روز كريب موكا","عباية بالقماش الروز كريب الناعم صيفي هدل","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-114","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790280319917-nmd9l1.jpg","Nova Moda"
"a436a4ec-a3a4-4059-84ad-385ee130a074","عباية لمار بجنب جكارد","عباية بقماش لمار مع جناب جكارد بلون الاسود الملكي الفاخر","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-112","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790279657298-uqsoja.png","Nova Moda"
"191c52fc-8c7d-4452-a95b-7f9002b8784a","عباية جكارد ورد","عباية بقماش الجكارد المورد الحريري اندونيسي","in stock","new","30.00 JOD","https://novamodaabaya.com/product/Abaya-104","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790279857024-c2rpca.jpg","Nova Moda"
"bda37195-5996-4baf-bdfa-b736783c6518","عباية ملاينج اخضر","عباية ملاينج بتصميم الازرار الراقي","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-116","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790280427486-74x3k1.jpg","Nova Moda"
"422fdf55-225c-4d27-a389-ea59fc25b223","عباية جكارد حريري اندونيسي","عباية جكارد حريري اندونيسي بنقش الورد الفاخر","in stock","new","30.00 JOD","https://novamodaabaya.com/product/Abaya-111","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790279056708-xd2la2.jpg","Nova Moda"
"4ea9ff2a-4a98-4e98-bfd7-96494e3a7c00","عباية جكارد بنقش الورد","عباية جكارد حريري اندونيسي بنقش الورد الفاخر","out of stock","new","30.00 JOD","https://novamodaabaya.com/product/Abaya-110","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790279329081-rmbgcf.jpg","Nova Moda"
"e028abf2-d886-4e38-88a4-42286839321c","عباية جكارد موشح","عباية جكارد حريري اندونيسي","in stock","new","30.00 JOD","https://novamodaabaya.com/product/Abaya-102","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790279948975-ecanqz.jpg","Nova Moda"
"63ab8780-deb3-4656-8fa4-6f7d59823ab4","عباية لمار مع دانتيل","عباية اسود بقماش لمار الكوري الفاخر بالمسة الدانتيل الفرنسي","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-117","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790278713451-q4cfqk.jpg","Nova Moda"
"f1d3c776-baee-489d-8cf8-f3a3af35a223","عباية اكمام دانتيل","عباية بالقماش ناعم و هدل صيفي بلمسة دانتيل على الاكمام","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-109","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790279472680-tb8xoc.jpg","Nova Moda"
"294be1b8-8ae6-44b6-b962-963eff15108a","عباية ملاينج بيج","عباية مالاينج صيفي بتصميم الازرار الراقي","in stock","new","20.00 JOD","https://novamodaabaya.com/product/Abaya-115","https://kttuwqqsemxueaxfkwlf.supabase.co/storage/v1/object/public/product-images/products/1790280658085-ahi957.jpg","Nova Moda"
